"class","order","family","genus","sci_name","atlantic","ne_pacific","nw_pacific","indian","mediterranean","s_pacific","alb_global_analysis","cclme_alb_diet","cclme_fed_saip_pre","cclme_frdcps","cclme_dfo","cclme_iys","atl_med_ind","pacific"
"Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","Aurelia labiata",0,0,0,0,0,0,0,0,0,1,0,1,0,1
"Actinopterygii","Anguilliformes","Nemichthyidae","Avocettina","Avocettina infans",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Malacostraca","Decapoda","Axiidae","Axius","Axius stirynchus",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Tetraodontiformes","Balistidae","Balistes","Balistes punctatus",0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Ophidiiformes","Aphyonidae","Barathronus","Barathronus parfaiti",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Stomiiformes","Stomiidae","Bathophilus","Bathophilus flemingi",0,1,0,0,0,0,1,0,1,1,0,0,0,1
"Actinopterygii","Scorpaeniformes","Agonidae","Bathyagonus","Bathyagonus nigripinnis",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Actinopterygii","Scorpaeniformes","Agonidae","Bathyagonus","Bathyagonus pentacanthus",0,1,0,0,0,0,1,1,0,0,0,0,0,1
"Actinopterygii","Argentiniformes","Bathylagidae","Bathylagoides","Bathylagoides wesethi",0,1,0,0,0,0,1,0,0,1,0,0,0,1
"Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja interrupta",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinopterygii","Beloniformes","Belonidae","Belone","Belone belone",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Malacostraca","Decapoda","Benthesicymidae","Bentheogennema","Bentheogennema burkenroadi",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Actinopterygii","Myctophiformes","Myctophidae","Benthosema","Benthosema glaciale",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Elasmobranchii","Rajiformes","Rajidae","Beringraja","Beringraja binoculata",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Nuda","Beroida","Beroidae","Beroe","Beroe abyssicola",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Nuda","Beroida","Beroidae","Beroe","Beroe gracilis",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Cephalopoda","Oegopsida","Gonatidae","Berryteuthis","Berryteuthis anonychus",0,1,0,0,0,0,1,0,0,1,0,0,0,1
"Cephalopoda","Oegopsida","Gonatidae","Berryteuthis","Berryteuthis magister",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Actinopterygii","Beryciformes","Berycidae","Beryx","Beryx splendens",0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Perciformes","Blenniidae","Blennius","Blennius ocellaris",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Tentaculata","Lobata","Bolinopsidae","Bolinopsis","Bolinopsis infundibulum",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Actinopterygii","Perciformes","Sparidae","Boops","Boops boops",1,0,0,0,0,0,1,0,0,0,0,0,1,0
