"class","order","family","genus","sci_name","alt_names","tax_level","life_stage","trophic_level","troph_lev_se","troph_estimate","IUCN_status","fisheries_status","commercial","recreational"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Ammodytes hexapterus","species","juvenile",NA,NA,NA,"NE","none",0,0
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Ammodytes hexapterus","species","adult",3.13,0.078,NA,"NE","commercial",1,0
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta bilineata","Lepidopsetta bilineata; Lepidopsetta bilineata bilineata (Ayres, 1855); Platessa bilineata Ayres, 1855; Platichthys umbrosus Girard, 1856; Pleuronectes bilineatus (Ayres, 1855); Pleuronectes perarcuatus Cope, 1874","species","juvenile",NA,NA,NA,"NE","commercial",1,0
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta bilineata","Lepidopsetta bilineata; Lepidopsetta bilineata bilineata (Ayres, 1855); Platessa bilineata Ayres, 1855; Platichthys umbrosus Girard, 1856; Pleuronectes bilineatus (Ayres, 1855); Pleuronectes perarcuatus Cope, 1875","species","larva",NA,NA,NA,"NE","none",0,0
"Actinopterygii","Perciformes","Zoarcidae","Lycodes","Lycodes cortezianus",NA,"species","adult",3.5,0.5,"Relatives","NE","none",0,0
"Actinopterygii","Perciformes","Zoarcidae","Lycodes","Lycodes cortezianus",NA,"species","juvenile",NA,NA,NA,"NE","none",0,0
"Actinopterygii","Tetraodontiformes","Tetraodontidae","Lagocephalus","Lagocephalus lagocephalus",NA,"species","adult",3.73,0.4,"Species","LC","commercial",1,1
"Actinopterygii","Osmeriformes","Osmeridae","Hypomesus","Hypomesus pretiosus","Hypomesus pretiosus; Argentina pretiosa Girard, 1854; Hypomesus pretiosus pretiosus (Girard, 1854)","species","juvenile",NA,NA,NA,"NE","none",0,0
"Actinopterygii","Osmeriformes","Osmeridae","Hypomesus","Hypomesus pretiosus","Hypomesus pretiosus; Argentina pretiosa Girard, 1854; Hypomesus pretiosus pretiosus (Girard, 1854)","species","adult",3.4,0.41,"Species","NE","commercial",1,1
"Actinopterygii","Stomiiformes","Phosichthyidae","Vinciguerria","Vinciguerria lucetia",NA,"species","juvenile",NA,NA,NA,"LC","none",0,0
