column,trait_type,instructions,data_type,values,data_collection_source,search_terms,rfishbase_functions,rfishbase_fields,links
l_max,morphological,"Maximum length for the specific lifestage. For juveniles: length at maturity (Lmax, Lm).",continuous,length (cm),FishBase/SeaLifeBase; Literature,"""genus species"" AND (juvenile OR adult) AND (length OR size OR ""size range"") OR (maturity OR metamorphosis OR transformation OR ""post-flexion"")",species; maturity,"Length, LTypeMaxM; LengthMatMin, Lm, Type1",
l_max_type,morphological,Type of length measurement,categorical,See measurement definitions table in the 'Morphometric Measurement Guide',FishBase/SeaLifeBase; Literature,"""genus species"" AND (juvenile OR adult) AND (length OR size OR ""size range"") OR (maturity OR metamorphosis OR transformation OR ""post-flexion"")",species; maturity,"Length, LTypeMaxM; LengthMatMin, Lm, Type1",
l_note,morphological,Notes from database or literature about body length,annotation,,FishBase/SeaLifeBase; Literature,,,,
l_ref,morphological,Reference for length information,reference,,,,,,
l_url,morphological,Link to reference source,url,,,,,,
l_ref2,morphological,Reference for length information,reference,,,,,,
l_url2,morphological,Link to reference source,url,,,,,,
l_ref3,morphological,Reference for length information,reference,,,,,,
l_url3,morphological,Link to reference source,url,,,,,,
l_ref4,morphological,Reference for length information,reference,,,,,,
l_url4,morphological,Link to reference source,url,,,,,,
defense_spines_num,morphological,"Number of spines (not soft rays). Average value if a range found. Can use genus or family-level as spines are a conserved family-level trait. For juveniles: if no information but adults have spines assign ""1"", juveniles usually have some spines if adults do.",continuous,number of spines,FishBase/SeaLifeBase; Literature,"""genus species""",morphology,"DorsalSpinesMax, AnalFinSpinesMax (add for total spines)",
exoskeleton,morphological,"Presence of exoskeleton, carapace or armouring. Use species photo to assess exoskeleton/armouring. 1 = yes; 0 = no.",binomial,"1, 0",FishBase/SeaLifeBase; Literature; Photos,"""genus species""",,,
exoskeleton_note,morphological,"Notes from database or literature about exoskeleton, carapace, armouring",annotation,,FishBase/SeaLifeBase; Literature; Photos,"""genus species""",,,
transparent,morphological,Transparency present. Use species photo to assess transperency. 1 = yes; 0 = no.,binomial,"1, 0",FishBase/SeaLifeBase; Literature; Photos,"""genus species""",,,https://pdfs.semanticscholar.org/4307/2d484f3aaf413035430e9e4a63821c1c5c9b.pdf
